 ,Area,Mean,Min,Max
1,343,255,255,255
2,452,255,255,255
3,163,255,255,255
4,324,255,255,255
5,369,255,255,255
6,203,255,255,255
7,558,255,255,255
8,574,255,255,255
9,581,255,255,255
10,563,255,255,255
11,211,255,255,255
12,511,255,255,255
13,627,255,255,255
14,601,255,255,255
15,583,255,255,255
16,607,255,255,255
17,105,255,255,255
18,638,255,255,255
19,680,255,255,255
20,640,255,255,255
21,615,255,255,255
22,662,255,255,255
23,710,255,255,255
24,688,255,255,255
25,698,255,255,255
26,619,255,255,255
27,734,255,255,255
28,764,255,255,255
29,98,255,255,255
30,735,255,255,255
31,721,255,255,255
32,775,255,255,255
33,752,255,255,255
34,717,255,255,255
35,308,255,255,255
36,808,255,255,255
37,845,255,255,255
38,793,255,255,255
39,738,255,255,255
40,809,255,255,255
41,920,255,255,255
42,909,255,255,255
43,382,255,255,255
44,806,255,255,255
45,928,255,255,255
46,945,255,255,255
47,827,255,255,255
48,1018,255,255,255
49,1037,255,255,255
50,1003,255,255,255
51,397,255,255,255
52,996,255,255,255
53,887,255,255,255
54,1103,255,255,255
55,1101,255,255,255
56,1157,255,255,255
57,1156,255,255,255
58,795,255,255,255
59,117,255,255,255
60,1162,255,255,255
61,837,255,255,255
62,1221,255,255,255
63,560,255,255,255
64,1145,255,255,255
65,1403,255,255,255
66,1274,255,255,255
67,811,255,255,255
68,1218,255,255,255
69,700,255,255,255
70,1476,255,255,255
71,1237,255,255,255
72,1383,255,255,255
73,3309,255,255,255
74,1523,255,255,255
75,1387,255,255,255
76,1558,255,255,255
77,561,255,255,255
78,1527,255,255,255
79,1721,255,255,255
80,3171,255,255,255
81,1754,255,255,255
82,1202,255,255,255
83,244,255,255,255
84,887,255,255,255
85,647,255,255,255
86,397,255,255,255
